location,population,HighestInfectionCount,PercentPopulationInfected
Faeroe Islands,49053.0,34658.0,70.65419036552301
Denmark,5813302.0,2958497.0,50.89185113727104
Andorra,77354.0,38794.0,50.151252682472794
Gibraltar,33691.0,16053.0,47.64773975245615
Slovenia,2078723.0,918762.0,44.19838525864196
Iceland,368792.0,162938.0,44.18154406820104
San Marino,34010.0,14726.0,43.299029697147894
Netherlands,17173094.0,7307824.0,42.55391602701295
Slovakia,5449270.0,2282747.0,41.890877126661
Georgia,3979773.0,1635975.0,41.10724405638211
Estonia,1325188.0,532089.0,40.15196334406892
Israel,9291000.0,3725407.0,40.09694327844151
Seychelles,98910.0,39653.0,40.08998079061774
Latvia,1866934.0,744433.0,39.874628669251294
Cyprus,896005.0,356784.0,39.819420650554406
Liechtenstein,38254.0,14235.0,37.21179484498353
Montenegro,628051.0,231613.0,36.878056081432874
Switzerland,8715494.0,3141904.0,36.04963757648161
Lithuania,2689862.0,964128.0,35.84302837840752
Austria,9043072.0,3188147.0,35.255132326713756
France,67422000.0,23585765.0,34.98229806294682
Czechia,10724553.0,3685973.0,34.36947908225172
Portugal,10167923.0,3413013.0,33.566471736656545
Maldives,543620.0,174658.0,32.12869283690814
Aruba,107195.0,33796.0,31.52758990624563
Belgium,11632334.0,3658084.0,31.44754956314012
Bahrain,1748295.0,538794.0,30.81825435638722
Luxembourg,634814.0,193939.0,30.550523460415175
Cayman Islands,66498.0,19811.0,29.791873439802703
Isle of Man,85410.0,24913.0,29.16871560707177
United Kingdom,68207114.0,19757389.0,28.966757045313486
Bonaire Sint Eustatius and Saba,26445.0,7653.0,28.939307997731138
Serbia,6871547.0,1942727.0,28.272047036860844
Mongolia,3329282.0,915811.0,27.507762935071284
Ireland,4982904.0,1353733.0,27.167551291375467
Croatia,4081657.0,1073527.0,26.301254613016233
Brunei,441532.0,114371.0,25.903218792748884
European Union,447189915.0,115821528.0,25.899852415052788
Greece,10370747.0,2658296.0,25.63263764895624
French Polynesia,282534.0,70436.0,24.930096908690636
Monaco,39520.0,9827.0,24.86589068825911
Uruguay,3485152.0,865644.0,24.838055843762337
Norway,5465629.0,1357280.0,24.833006411521893
Sweden,10160159.0,2466577.0,24.276952752412633
Spain,46745211.0,11223974.0,24.01096018156812
Curacao,164796.0,39459.0,23.94414912983325
United States,332915074.0,79562252.0,23.898663116708256
Saint Pierre and Miquelon,5771.0,1316.0,22.803673540114364
Europe,748962983.0,167359019.0,22.345432658051674
Italy,60367471.0,13402905.0,22.202197272766323
Palau,18174.0,3922.0,21.58027952019368
Greenland,56868.0,11879.0,20.888724766125062
Germany,83900471.0,17470663.0,20.823080957435867
New Caledonia,288217.0,59489.0,20.640350846757823
High income,1214930230.0,250216661.0,20.595146521294478
British Virgin Islands,30423.0,6104.0,20.063767544292148
Barbados,287708.0,57102.0,19.847206195170102
Argentina,45605823.0,8976079.0,19.6818704488679
Bermuda,62092.0,11989.0,19.30844553243574
Hungary,9634162.0,1814362.0,18.83258761893354
Singapore,5453600.0,948478.0,17.39177790817075
Panama,4381583.0,759782.0,17.34035393144441
Chile,19212362.0,3313242.0,17.245365249728273
Anguilla,15125.0,2595.0,17.157024793388427
Turkey,85042736.0,14576069.0,17.139699033201378
Jordan,10269022.0,1680179.0,16.361626258079884
Bulgaria,6896655.0,1115132.0,16.169171866651297
Costa Rica,5139053.0,825158.0,16.05661587845076
Lebanon,6769151.0,1085232.0,16.032025286479794
Dominica,72172.0,11529.0,15.97433907886715
North America,596581283.0,93831338.0,15.728173289003436
Poland,37797000.0,5823982.0,15.408582691748022
Turks and Caicos Islands,39226.0,5874.0,14.974761637689287
Romania,19127772.0,2794081.0,14.60745663425934
North Macedonia,2082661.0,301583.0,14.480657197690839
Kuwait,4328553.0,626114.0,14.46474145054941
Mauritius,1273428.0,181362.0,14.242030173672951
Armenia,2968128.0,422021.0,14.218423194687022
Australia,25788217.0,3651709.0,14.160377974173244
Malta,516100.0,73001.0,14.144739391590777
Belize,404915.0,57071.0,14.094563056443945
South Korea,51305184.0,7228550.0,14.089316978182945
Brazil,213993441.0,29391345.0,13.734694326449008
Finland,5548361.0,761110.0,13.71774475381108
Suriname,591798.0,78793.0,13.314171389561979
Kosovo,1782115.0,226895.0,12.731782180162336
South America,434260137.0,55213837.0,12.714461286139189
Moldova,4024025.0,508235.0,12.630015966600606
Palestine,5222756.0,653854.0,12.51932887540601
Saint Lucia,184401.0,22853.0,12.39309982049989
Qatar,2930524.0,359259.0,12.25920688586751
Grenada,113015.0,13696.0,12.118745299296553
Colombia,51265841.0,6077288.0,11.854458800354022
Russia,145912022.0,17124792.0,11.736381804098363
Malaysia,32776195.0,3845601.0,11.732908594179403
Ukraine,43466822.0,5040518.0,11.596242301772143
Bosnia and Herzegovina,3263459.0,373359.0,11.440591102875814
Botswana,2397240.0,263950.0,11.010578832323839
Peru,33359415.0,3536842.0,10.602230284913569
Saint Kitts and Nevis,53546.0,5541.0,10.348111903783664
Belarus,9442867.0,942334.0,9.97932089904475
Oceania,43219954.0,4305315.0,9.961405789557295
Cape Verde,561901.0,55907.0,9.94961745930333
Cuba,11317498.0,1077405.0,9.519816128971263
Albania,2872934.0,272689.0,9.491655568836597
Trinidad and Tobago,1403374.0,133151.0,9.487919827501436
Paraguay,7219641.0,646054.0,8.9485612927291
Canada,38067913.0,3376139.0,8.868726268235404
United Arab Emirates,9991083.0,885703.0,8.864934862416817
Tunisia,11935764.0,1029596.0,8.626142406971184
Saint Vincent and the Grenadines,111269.0,9447.0,8.49023537553137
Hong Kong,7552800.0,635675.0,8.416415104332168
Iran,85028760.0,7126906.0,8.38175930120585
Bahamas,396914.0,33198.0,8.364028479721048
Guyana,790329.0,63147.0,7.989963673356286
New Zealand,5126300.0,399342.0,7.790063008407623
Azerbaijan,10223344.0,790820.0,7.735433728924704
Bolivia,11832936.0,897489.0,7.584668758455214
Antigua and Barbuda,98728.0,7466.0,7.562191070415687
Oman,5223376.0,386646.0,7.402224155412132
Kazakhstan,18994958.0,1392982.0,7.333430271338321
Libya,6958538.0,500304.0,7.189786130362441
Fiji,902899.0,64081.0,7.097250080020025
Vietnam,98168829.0,6377438.0,6.496398159134607
South Africa,60041996.0,3695175.0,6.154317388116145
Namibia,2587344.0,157438.0,6.084927245855209
Eswatini,1172369.0,69459.0,5.9246704749102035
World,7874965730.0,459802558.0,5.838788050192569
Iraq,41179351.0,2313370.0,5.617791305161657
Dominican Republic,10953714.0,576641.0,5.264342304354487
Upper middle income,2513672790.0,121996495.0,4.853316449353776
Ecuador,17888474.0,849386.0,4.748230620454265
Thailand,69950844.0,3226697.0,4.612806387296771
Japan,126050796.0,5805074.0,4.605344975370088
Guatemala,18249868.0,805393.0,4.413144248495386
Jamaica,2973462.0,128400.0,4.318198786465071
Mexico,130262220.0,5607845.0,4.3050433195442235
Honduras,10062994.0,416729.0,4.141202906411352
Wallis and Futuna,11094.0,454.0,4.092302145303768
Vatican,812.0,29.0,3.571428571428571
Falkland Islands,3528.0,118.0,3.3446712018140587
Montserrat,4981.0,166.0,3.3326641236699457
Philippines,111046910.0,3671293.0,3.3060739826078906
Nepal,29674920.0,977987.0,3.2956685308671427
Morocco,37344787.0,1162125.0,3.1118801132806033
India,1393409033.0,42996062.0,3.0856741259549447
Sri Lanka,21497306.0,656386.0,3.053340730229174
Kyrgyzstan,6628347.0,200758.0,3.0287792718154316
Asia,4678444992.0,127658649.0,2.7286555515410025
Sao Tome and Principe,223364.0,5939.0,2.65888863021794
Lower middle income,3330652550.0,85766360.0,2.575061754790364
Kiribati,121388.0,3033.0,2.4985995320789534
El Salvador,6518500.0,156364.0,2.398772723786147
Bhutan,779900.0,18652.0,2.391588665213489
Indonesia,276361788.0,5900124.0,2.134927568206354
Saudi Arabia,35340680.0,748915.0,2.11913013558313
Gabon,2278829.0,47570.0,2.0874756289304726
Laos,7379358.0,146687.0,1.9878016488697254
Venezuela,28704947.0,518410.0,1.8059953219910143
Tonga,106759.0,1875.0,1.7562922095561029
Timor,1343875.0,22789.0,1.6957678355501813
Zambia,18920657.0,315202.0,1.665914666705284
Zimbabwe,15092171.0,242909.0,1.6095033643602368
Djibouti,1002197.0,15568.0,1.5533872083033575
Lesotho,2159067.0,32775.0,1.5180168100387808
Solomon Islands,703995.0,9124.0,1.2960319320449718
Mauritania,4775110.0,58659.0,1.2284324340172268
Bangladesh,166303494.0,1949725.0,1.1723896793172608
Myanmar,54806014.0,606227.0,1.1061322576752253
Equatorial Guinea,1449891.0,15898.0,1.0964962193709733
Rwanda,13276517.0,129602.0,0.9761747000361617
Comoros,888456.0,8069.0,0.9082047957355233
Africa,1373486472.0,11433679.0,0.832456615561045
Cambodia,16946446.0,134213.0,0.791983168624265
Mozambique,32163045.0,225179.0,0.7001171686325098
Uzbekistan,33935765.0,237260.0,0.6991443982476894
Pakistan,225199929.0,1519627.0,0.6747901772207042
Algeria,44616626.0,265457.0,0.5949732729677946
Kenya,54985702.0,323195.0,0.5877800741727368
Ghana,31732128.0,160716.0,0.5064772208154461
Senegal,17196308.0,85806.0,0.4989791994886344
Gambia,2486937.0,11973.0,0.48143559728292273
Egypt,104258327.0,495373.0,0.4751399857010941
Papua New Guinea,9119005.0,41533.0,0.4554553923372122
Afghanistan,39835428.0,176409.0,0.44284449510621554
Cameroon,27224262.0,119322.0,0.43829287273241785
Malawi,19647681.0,85499.0,0.4351607703728496
Togo,8478242.0,36860.0,0.43475994197853757
